instance,m,n,density,cap_ratio,run,best_feasible_profit,best_penalized_score,time_sec,iters
m100_n200_d010_c040_seed42,100,200,0.1,0.4,1,1072.9595287338243,1072.9595287338243,4.625769853591919,10000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,2,1072.9595287338243,1072.9595287338243,3.686372756958008,10000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,3,1072.9595287338243,1072.9595287338243,3.247939348220825,10000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,4,1072.9595287338243,1072.9595287338243,3.1986820697784424,10000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,5,1072.9595287338243,1072.9595287338243,3.2070205211639404,10000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,1,1564.1838451854085,1564.1838451854085,3.187845468521118,10000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,2,1564.1838451854085,1564.1838451854085,3.0957672595977783,10000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,3,1564.1838451854085,1564.1838451854085,3.223836660385132,10000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,4,1564.1838451854085,1564.1838451854085,3.1155483722686768,10000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,5,1564.1838451854085,1564.1838451854085,3.2986702919006348,10000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,1,425.304367015681,425.304367015681,4.484246015548706,10000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,2,425.304367015681,425.304367015681,4.078092336654663,10000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,3,425.304367015681,425.304367015681,4.236432790756226,10000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,4,425.304367015681,425.304367015681,4.191397190093994,10000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,5,425.304367015681,425.304367015681,4.1880128383636475,10000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,1,812.0078432123904,812.0078432123904,4.219670057296753,10000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,2,812.0078432123904,812.0078432123904,3.997072696685791,10000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,3,812.0078432123904,812.0078432123904,3.9748759269714355,10000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,4,812.0078432123904,812.0078432123904,4.109717607498169,10000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,5,812.0078432123904,812.0078432123904,3.9483771324157715,10000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,1,670.8984527110722,670.8984527110722,1.3287732601165771,10000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,2,672.8181363598283,672.8181363598283,1.2919111251831055,10000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,3,664.457423404493,664.457423404493,1.3031363487243652,10000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,4,666.8769279796321,666.8769279796321,1.3038718700408936,10000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,5,667.7452039679943,667.7452039679943,1.3227357864379883,10000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,1,1216.12535352094,1216.12535352094,1.296013593673706,10000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,2,1211.1065367839258,1211.1065367839258,1.3041281700134277,10000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,3,1256.6895326703,1256.6895326703,1.3084335327148438,10000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,4,1165.0299415382522,1165.0299415382522,1.3083195686340332,10000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,5,1213.7756490526533,1213.7756490526533,1.3010876178741455,10000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,1,276.50439968790107,276.50439968790107,1.6457254886627197,10000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,2,265.9231361610497,265.9231361610497,1.6197009086608887,10000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,3,268.44982515281566,268.44982515281566,1.6253890991210938,10000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,4,241.67637536502238,241.67637536502238,1.6464462280273438,10000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,5,262.60565113374025,262.60565113374025,1.62422513961792,10000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,1,466.99008037050515,466.99008037050515,1.6457886695861816,10000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,2,481.1483741843115,481.1483741843115,1.6667780876159668,10000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,3,462.47559981820035,462.47559981820035,1.6176505088806152,10000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,4,460.33439982621996,460.33439982621996,1.646407127380371,10000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,5,464.7123168552863,464.7123168552863,1.6239261627197266,10000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,1,662.2640476206926,662.2640476206926,1.594484567642212,10000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,2,665.235231196765,665.235231196765,1.5935118198394775,10000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,3,657.6433781579691,657.6433781579691,1.6237738132476807,10000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,4,669.2005196233631,669.2005196233631,1.6711595058441162,10000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,5,664.834047917813,664.834047917813,1.582575798034668,10000
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,1,1099.299742274652,1099.299742274652,1.5809855461120605,10000
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,2,1093.393327318341,1093.393327318341,1.5958786010742188,10000
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,3,1098.9730777682094,1098.9730777682094,1.592313528060913,10000
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,4,1096.4282129369221,1096.4282129369221,1.5696101188659668,10000
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,5,1092.761618809225,1092.761618809225,1.5814590454101562,10000
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,1,273.28720292068203,273.28720292068203,1.9056689739227295,10000
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,2,272.3428204146826,272.3428204146826,1.913891077041626,10000
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,3,271.44558692665515,271.44558692665515,1.8892822265625,10000
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,4,268.4165083793186,268.4165083793186,1.9435224533081055,10000
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,5,273.5928170666464,273.5928170666464,1.9216387271881104,10000
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,1,445.9911400598834,445.9911400598834,1.9777719974517822,10000
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,2,445.92119010630694,445.92119010630694,1.9647932052612305,10000
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,3,446.1555907751475,446.1555907751475,1.9094810485839844,10000
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,4,445.4974254864587,445.4974254864587,2.045013904571533,10000
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,5,441.62396099467617,441.62396099467617,2.282996892929077,10000
