instance,m,n,density,cap_ratio,mean_best_feasible_profit,best_overall_feasible_profit,std_best_feasible_profit,avg_time_sec,best_time_sec
m100_n200_d010_c040_seed42,100,200,0.1,0.4,1072.9595287338243,1072.9595287338243,0.0,3.593156909942627,3.1986820697784424
m100_n200_d010_c060_seed43,100,200,0.1,0.6,1564.1838451854085,1564.1838451854085,0.0,3.184333610534668,3.0957672595977783
m100_n200_d020_c040_seed44,100,200,0.2,0.4,425.30436701568107,425.304367015681,5.684341886080802e-14,4.235636234283447,4.078092336654663
m100_n200_d020_c060_seed45,100,200,0.2,0.6,812.0078432123904,812.0078432123904,0.0,4.049942684173584,3.9483771324157715
m300_n600_d010_c040_seed46,300,600,0.1,0.4,668.559228884604,672.8181363598283,2.9640459540714437,1.3100856781005858,1.2919111251831055
m300_n600_d010_c060_seed47,300,600,0.1,0.6,1212.5454027132143,1256.6895326703,29.06139414873729,1.3035964965820312,1.296013593673706
m300_n600_d020_c040_seed48,300,600,0.2,0.4,263.03187750010585,276.50439968790107,11.622921559311676,1.6322973728179933,1.6197009086608887
m300_n600_d020_c060_seed49,300,600,0.2,0.6,467.1321542109046,481.1483741843115,7.351505745538311,1.6401101112365724,1.6176505088806152
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,663.8354449033206,669.2005196233631,3.8092418247794604,1.613101100921631,1.582575798034668
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,1096.1711958214698,1099.299742274652,2.7219908880789023,1.584049367904663,1.5696101188659668
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,271.816987141597,273.5928170666464,1.859720458736779,1.9148006916046143,1.8892822265625
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,445.03786148449456,446.1555907751475,1.7207117068164224,2.0360114097595217,1.9094810485839844
