instance,m,n,density,cap_ratio,run,best_feasible_profit,best_penalized_score,time_sec,iters
m100_n200_d010_c040_seed42,100,200,0.1,0.4,1,756.3069000585967,10099.318524174467,1.1805472373962402,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,2,756.3069000585967,10099.318524174467,1.0050113201141357,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,3,756.3069000585967,10099.318524174467,0.968651294708252,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,4,756.3069000585967,10099.318524174467,0.8257875442504883,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,5,756.3069000585967,10099.318524174467,0.8535304069519043,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,1,1079.6560761789556,9945.64397888412,0.8604769706726074,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,2,1079.6560761789556,9945.64397888412,0.8624114990234375,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,3,1079.6560761789556,9945.64397888412,0.8540339469909668,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,4,1079.6560761789556,9945.64397888412,0.8556666374206543,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,5,1079.6560761789556,9945.64397888412,0.836958646774292,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,1,380.36316069997224,9641.532671248364,0.9845724105834961,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,2,380.36316069997224,9641.532671248364,0.9807615280151367,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,3,380.36316069997224,9641.532671248364,0.9936578273773193,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,4,380.36316069997224,9641.532671248364,1.0264532566070557,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,5,380.36316069997224,9641.532671248364,0.9759261608123779,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,1,466.06173274511787,10668.44380608616,0.9768784046173096,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,2,466.06173274511787,10668.44380608616,0.96659255027771,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,3,466.06173274511787,10668.44380608616,0.9893064498901367,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,4,466.06173274511787,10668.44380608616,0.9570550918579102,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,5,466.06173274511787,10668.44380608616,0.953563928604126,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,1,569.3440173517787,30601.719654650016,0.335512638092041,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,2,668.3606362669209,30595.635031428505,0.3535139560699463,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,3,569.3440173517787,30600.608123953847,1.1120059490203857,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,4,569.3440173517787,30597.67326051129,0.6935508251190186,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,5,667.7452039679943,30597.675037668017,0.9042284488677979,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,1,983.5739896696801,30783.507812233307,0.3597242832183838,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,2,980.2945530220293,30788.96322024315,0.32073545455932617,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,3,1075.4004906250966,30792.134128423644,0.44861340522766113,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,4,979.0999363367664,30788.205648746734,0.3667128086090088,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,5,1077.1690316758707,30783.083706527283,0.33160972595214844,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,1,182.16563754838774,31121.17148448671,0.43668651580810547,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,2,182.16563754838774,31117.20915454372,0.42627573013305664,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,3,182.16563754838774,31115.719141479804,0.452023983001709,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,4,182.16563754838774,31115.552011136,0.43879127502441406,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,5,182.16563754838774,31106.82641479566,0.43649840354919434,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,1,464.81604797551995,29691.228014532888,0.43395566940307617,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,2,464.1050196207774,29684.772354424604,0.48374247550964355,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,3,462.47559981820035,29681.155490923935,0.43889570236206055,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,4,460.33439982621996,29691.821980041026,0.4071156978607178,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,5,464.7123168552863,29685.971993801246,0.42504167556762695,3000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,1,572.7614166181871,51176.61559790691,0.398026704788208,3000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,2,572.7614166181871,51174.97253146628,0.41371607780456543,3000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,3,572.7614166181871,51178.09554226066,0.3995206356048584,3000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,4,572.7614166181871,51174.15699052528,0.37795448303222656,3000
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,5,572.7614166181871,51178.29265352107,0.3772275447845459,3000
