instance,m,n,density,cap_ratio,mean_best_feasible_profit,best_overall_feasible_profit,std_best_feasible_profit,avg_time_sec,best_time_sec
m100_n200_d010_c040_seed42,100,200,0.1,0.4,756.3069000585967,756.3069000585967,0.0,0.9667055606842041,0.8257875442504883
m100_n200_d010_c060_seed43,100,200,0.1,0.6,1079.6560761789556,1079.6560761789556,0.0,0.8539095401763916,0.836958646774292
m100_n200_d020_c040_seed44,100,200,0.2,0.4,380.36316069997224,380.36316069997224,0.0,0.9922742366790771,0.9759261608123779
m100_n200_d020_c060_seed45,100,200,0.2,0.6,466.06173274511787,466.06173274511787,0.0,0.9686792850494385,0.953563928604126
m300_n600_d010_c040_seed46,300,600,0.1,0.4,608.8275784580503,668.3606362669209,48.35768059099274,0.6797623634338379,0.335512638092041
m300_n600_d010_c060_seed47,300,600,0.1,0.6,1019.1076002658887,1077.1690316758707,46.71128902908265,0.3654791355133057,0.32073545455932617
m300_n600_d020_c040_seed48,300,600,0.2,0.4,182.16563754838774,182.16563754838774,0.0,0.4380551815032959,0.42627573013305664
m300_n600_d020_c060_seed49,300,600,0.2,0.6,463.28867681920076,464.81604797551995,1.6979326212779429,0.437750244140625,0.4071156978607178
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,572.7614166181871,572.7614166181871,0.0,0.39328908920288086,0.3772275447845459
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,1096.1711958214698,1099.299742274652,2.7219908880789023,0.37715888023376465,0.3646721839904785
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,232.07530689039967,273.28720292068203,47.75910459732283,0.5791562557220459,0.561110258102417
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,445.03786148449456,446.1555907751475,1.7207117068164224,0.5969541549682618,0.565779447555542
