instance,m,n,density,cap_ratio,run,best_feasible_profit,best_penalized_score,time_sec,iters
m100_n200_d010_c040_seed42,100,200,0.1,0.4,1,1053.202015340791,1053.202015340791,1.163036823272705,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,2,1053.202015340791,1053.202015340791,1.242699146270752,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,3,1053.202015340791,1053.202015340791,1.116929531097412,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,4,1053.202015340791,1053.202015340791,0.9686346054077148,3000
m100_n200_d010_c040_seed42,100,200,0.1,0.4,5,1053.202015340791,1053.202015340791,0.9720280170440674,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,1,1529.215662388222,1529.215662388222,0.9418253898620605,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,2,1529.215662388222,1529.215662388222,0.9506726264953613,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,3,1529.215662388222,1529.215662388222,0.9514636993408203,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,4,1529.215662388222,1529.215662388222,0.9525408744812012,3000
m100_n200_d010_c060_seed43,100,200,0.1,0.6,5,1529.215662388222,1529.215662388222,0.9534471035003662,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,1,425.304367015681,425.304367015681,1.3081603050231934,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,2,425.304367015681,425.304367015681,1.2630577087402344,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,3,425.304367015681,425.304367015681,1.2382354736328125,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,4,425.304367015681,425.304367015681,1.2373073101043701,3000
m100_n200_d020_c040_seed44,100,200,0.2,0.4,5,425.304367015681,425.304367015681,1.2180097103118896,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,1,812.0078432123904,812.0078432123904,1.191497564315796,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,2,812.0078432123904,812.0078432123904,1.1729514598846436,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,3,812.0078432123904,812.0078432123904,1.1872520446777344,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,4,812.0078432123904,812.0078432123904,1.2069149017333984,3000
m100_n200_d020_c060_seed45,100,200,0.2,0.6,5,812.0078432123904,812.0078432123904,1.1903712749481201,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,1,670.8984527110722,670.8984527110722,0.3891291618347168,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,2,668.3606362669209,668.3606362669209,0.4021129608154297,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,3,664.457423404493,664.457423404493,0.39995837211608887,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,4,666.8769279796321,666.8769279796321,0.3991663455963135,3000
m300_n600_d010_c040_seed46,300,600,0.1,0.4,5,667.7452039679943,667.7452039679943,0.4002647399902344,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,1,1174.455291485191,1174.455291485191,0.40018391609191895,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,2,1191.4292928307927,1191.4292928307927,0.3940567970275879,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,3,1120.872866693598,1120.872866693598,0.39934802055358887,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,4,1144.0402992611475,1144.0402992611475,0.3946094512939453,3000
m300_n600_d010_c060_seed47,300,600,0.1,0.6,5,1149.2936277159235,1149.2936277159235,0.4005849361419678,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,1,276.50439968790107,276.50439968790107,0.5011856555938721,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,2,265.9231361610497,265.9231361610497,0.4938373565673828,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,3,268.44982515281566,268.44982515281566,0.4892911911010742,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,4,241.67637536502238,241.67637536502238,0.4932272434234619,3000
m300_n600_d020_c040_seed48,300,600,0.2,0.4,5,262.60565113374025,262.60565113374025,0.48931264877319336,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,1,464.81604797551995,464.81604797551995,0.4772825241088867,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,2,481.1483741843115,481.1483741843115,0.4952375888824463,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,3,462.47559981820035,462.47559981820035,0.5598130226135254,3000
m300_n600_d020_c060_seed49,300,600,0.2,0.6,4,460.33439982621996,460.33439982621996,0.5091900825500488,3000
