instance,m,n,density,cap_ratio,mean_best_feasible_profit,best_overall_feasible_profit,std_best_feasible_profit,avg_time_sec,best_time_sec
m100_n200_d010_c040_seed42,100,200,0.1,0.4,1053.202015340791,1053.202015340791,0.0,1.0926656246185302,0.9686346054077148
m100_n200_d010_c060_seed43,100,200,0.1,0.6,1529.215662388222,1529.215662388222,0.0,0.9499899387359619,0.9418253898620605
m100_n200_d020_c040_seed44,100,200,0.2,0.4,425.30436701568107,425.304367015681,5.684341886080802e-14,1.2529541015625,1.2180097103118896
m100_n200_d020_c060_seed45,100,200,0.2,0.6,812.0078432123904,812.0078432123904,0.0,1.1897974491119385,1.1729514598846436
m300_n600_d010_c040_seed46,300,600,0.1,0.4,667.6677288660225,670.8984527110722,2.0906997306576374,0.39812631607055665,0.3891291618347168
m300_n600_d010_c060_seed47,300,600,0.1,0.6,1156.0182755973306,1191.4292928307927,24.567280149041352,0.39775662422180175,0.3940567970275879
m300_n600_d020_c040_seed48,300,600,0.2,0.4,263.03187750010585,276.50439968790107,11.622921559311676,0.49337081909179686,0.4892911911010742
m300_n600_d020_c060_seed49,300,600,0.2,0.6,466.6973477319076,481.1483741843115,7.4111006386364355,0.5093199729919433,0.4772825241088867
m500_n1000_d010_c040_seed50,500,1000,0.1,0.4,663.8354449033206,669.2005196233631,3.8092418247794604,0.5127614974975586,0.4887099266052246
m500_n1000_d010_c060_seed51,500,1000,0.1,0.6,1096.1711958214698,1099.299742274652,2.7219908880789023,0.47986326217651365,0.4638025760650635
m500_n1000_d020_c040_seed52,500,1000,0.2,0.4,271.816987141597,273.5928170666464,1.859720458736779,0.5901958465576171,0.576662540435791
m500_n1000_d020_c060_seed53,500,1000,0.2,0.6,445.03786148449456,446.1555907751475,1.7207117068164224,0.6092365264892579,0.5840530395507812
